symbol,alpha_factors_score,ml_features_score,technical_score,fundamental_score,sentiment_score,ml_predictor_score,composite_score,confidence,num_factors_computed
AGH,0.15534537110083912,0.0,0.0,0.0,0.19780336407083687,0.0,0.1659598693433386,0.2857142857142857,89
AISP,0.05099123966147137,0.0,0.0,0.0,-0.23578860930731946,0.0,-0.020703722580726346,0.2857142857142857,90
AMN,0.12939785282778865,0.0,0.0,0.0,0.2954733093035702,0.0,0.17091671694673405,0.2857142857142857,90
AORT,0.31526307172017065,0.0,0.0,0.0,0.1273668501031809,0.0,0.2682890163159232,0.2857142857142857,90
ARVN,0.40504646865541477,0.0,0.0,0.0,-0.45756788062638293,0.0,0.18939288133496532,0.2857142857142857,90
AVTX,0.3235719560663314,0.0,0.0,0.0,0.07349878512530748,0.0,0.26105366333107544,0.2857142857142857,90
BBAR,0.20594690151948436,0.0,0.0,0.0,-0.4750477757473971,0.0,0.035698232202763976,0.2857142857142857,90
BSAC,0.2338244283519015,0.0,0.0,0.0,0.0367669949012572,0.0,0.18456006998924043,0.2857142857142857,90
CNTA,0.4289303404089878,0.0,0.0,0.0,0.14435893166783081,0.0,0.3577874882236986,0.2857142857142857,90
CSTE,0.09223314551645882,0.0,0.0,0.0,-0.3039968095639292,0.0,-0.006824343253638191,0.2857142857142857,89
DE,0.3185626791450242,0.0,0.0,0.0,0.17776964577286827,0.0,0.2833644208019852,0.2857142857142857,90
DVN,0.3097368808467428,0.0,0.0,0.0,-0.004182909234786223,0.0,0.23125693332636052,0.2857142857142857,90
ET,0.10223852022922342,0.0,0.0,0.0,-0.15202388214812165,0.0,0.03867291963488714,0.2857142857142857,90
ETHM,0.07880373126425443,0.0,0.0,0.0,0.0,0.0,0.059102798448190816,0.2857142857142857,90
GUTS,0.2902168386779219,0.0,0.0,0.0,0.12479407767480644,0.0,0.24886114842714305,0.2857142857142857,90
INGM,0.12227852452395269,0.0,0.0,0.0,0.23459711080208132,0.0,0.15035817109348487,0.2857142857142857,90
IPDN,0.05538769058542747,0.0,0.0,0.0,-0.42084458776737926,0.0,-0.06367037900277424,0.2857142857142857,90
K,0.1707416032779911,0.0,0.0,0.0,-0.0005990893124629995,0.0,0.12790643013037759,0.2857142857142857,90
KMI,0.1576555255598796,0.0,0.0,0.0,-0.06910341964859835,0.0,0.10096578925776012,0.2857142857142857,90
KTF,0.15060125683286824,0.0,0.0,0.0,-0.08608628404344382,0.0,0.09142937161379022,0.2857142857142857,90
LEXX,0.14321728411078646,0.0,0.0,0.0,0.14743248591496,0.0,0.14427108456182985,0.2857142857142857,89
LODE,0.21228617550104592,0.0,0.0,0.0,-0.031288688182428775,0.0,0.15139245958017725,0.2857142857142857,90
LZMH,0.057362837839215614,0.0,0.0,0.0,-0.10395693216575472,0.0,0.017032895337973027,0.2857142857142857,89
NET,0.13016967315559846,0.0,0.0,0.0,-0.0790141310132812,0.0,0.07787372211337855,0.2857142857142857,90
PGY,0.12973093729491003,0.0,0.0,0.0,0.16357899622759672,0.0,0.1381929520280817,0.2857142857142857,90
PHR,0.040424389229656944,0.0,0.0,0.0,0.19039746578205455,0.0,0.07791765836775635,0.2857142857142857,90
PRQR,0.1572662213833412,0.0,0.0,0.0,0.3873290784754393,0.0,0.21478193565636575,0.2857142857142857,90
RM,0.1098769199039957,0.0,0.0,0.0,0.06885638594901963,0.0,0.0996217864152517,0.2857142857142857,89
SLG,0.09268602054401344,0.0,0.0,0.0,0.08065067304769465,0.0,0.08967718366993374,0.2857142857142857,90
SUIG,0.07183550328597768,0.0,0.0,0.0,-0.5451897093837538,0.0,-0.0824207998814552,0.2857142857142857,90
TGS,0.17495247500379912,0.0,0.0,0.0,-0.24407119897436091,0.0,0.07019655650925911,0.2857142857142857,90
TGT,0.10630594016384737,0.0,0.0,0.0,-0.12941526353827004,0.0,0.04737563923831801,0.2857142857142857,90
AAPG,0.07084222479859414,0.0,0.0,0.0,-0.09112421004232228,0.0,0.030350616088365034,0.2857142857142857,84
AGX,0.39600146020589927,0.0,0.0,0.0,0.29174965567071676,0.0,0.3699385090721036,0.2857142857142857,90
APG,0.3280387738206746,0.0,0.0,0.0,0.09433879784165551,0.0,0.26961377982591983,0.2857142857142857,90
BFLY,0.4298578235803247,0.0,0.0,0.0,0.9894105138134636,0.0,0.5697459961386094,0.2857142857142857,90
CIO,0.09816458755945266,0.0,0.0,0.0,-0.021751463481716266,0.0,0.06818557479916043,0.2857142857142857,90
CPSR,0.26718077095317994,0.0,0.0,0.0,0.014106279065106362,0.0,0.20391214798116153,0.2857142857142857,81
CRDF,0.06681340163617343,0.0,0.0,0.0,0.10984904817849944,0.0,0.07757231327175494,0.2857142857142857,90
FMST,0.08106416231953245,0.0,0.0,0.0,-0.2820014159193585,0.0,-0.009702232240190298,0.2857142857142857,90
FSCO,0.08363560642979039,0.0,0.0,0.0,-0.2146881596564653,0.0,0.009054664908226465,0.2857142857142857,90
GWRS,0.11199136949901325,0.0,0.0,0.0,-0.041153214767847765,0.0,0.073705223432298,0.2857142857142857,90
HSIC,0.3700681970750534,0.0,0.0,0.0,0.23405944809572643,0.0,0.33606600983022167,0.2857142857142857,90
INTC,0.17063597051187385,0.0,0.0,0.0,0.24888604144123666,0.0,0.19019848824421456,0.2857142857142857,90
NVO,0.1492363869130128,0.0,0.0,0.0,-0.283901841812577,0.0,0.04095182973161534,0.2857142857142857,90
PMTU,0.14190710705082943,0.0,0.0,0.0,-0.027368994289239335,0.0,0.09958808171581224,0.2857142857142857,83
REFI,0.07553212051035751,0.0,0.0,0.0,-0.028447606927642113,0.0,0.04953718865085761,0.2857142857142857,90
RRC,0.24713966639824878,0.0,0.0,0.0,-0.10846225063066145,0.0,0.15823918714102123,0.2857142857142857,90
SKT,0.1694642409780847,0.0,0.0,0.0,-0.015804795531070736,0.0,0.12314698185079585,0.2857142857142857,90
TECX,0.22548110772783986,0.0,0.0,0.0,0.42440105580757087,0.0,0.27521109474777267,0.2857142857142857,90
UEC,0.13935219230397297,0.0,0.0,0.0,0.08494761904844411,0.0,0.12575104899009076,0.2857142857142857,90
VBNK,0.1319996321866659,0.0,0.0,0.0,0.09585860585126306,0.0,0.12296437560281519,0.2857142857142857,90
