symbol,composite_score,alpha_factors_score,ml_features_score,technical_score,sentiment_score,ml_predictor_score,confidence,num_factors,weight,last_price,target_qty,current_qty,delta,side,order_status,order_id,reason
CCC,0.028722587477635054,0.0978903648208151,0.0,0.0,-0.17878074455190507,0.0,0.3333333333333333,90,0.0,7.2,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CCCC,0.1673070277395412,0.20628917490158857,0.0,0.0,0.050360586253399085,0.0,0.3333333333333333,90,0.0,2.505,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CCD,-0.019733313897548597,0.08035477207206579,0.0,0.0,-0.3199975718063917,0.0,0.3333333333333333,89,0.0,20.27,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CCI,0.07833592560212613,0.1456119700828905,0.0,0.0,-0.123492207840167,0.0,0.3333333333333333,90,0.0,91.33,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CCIXW,-0.07729141460592977,0.1149662578577739,0.0,0.0,-0.6540644319970407,0.0,0.3333333333333333,87,0.0,0.7655,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CCK,0.07611537679277562,0.15136905707416737,0.0,0.0,-0.14964566405139965,0.0,0.3333333333333333,90,0.0,95.68,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CCL,0.04693310079925526,0.1354363228262375,0.0,0.0,-0.2185765652816914,0.0,0.3333333333333333,90,0.0,25.915,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CCLD,0.04856747787680938,0.165659880279782,0.0,0.0,-0.3027097293321085,0.0,0.3333333333333333,90,0.0,3.0,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CCNE,0.024899799274035062,0.10008967690218784,0.0,0.0,-0.20066983361042323,0.0,0.3333333333333333,90,0.0,24.05,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CCO,0.08845462499013389,0.23380117881222132,0.0,0.0,-0.3475850364761284,0.0,0.3333333333333333,90,0.0,1.79,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CCOI,0.1652597792652795,0.08938627799088192,0.0,0.0,0.39288028308847217,0.0,0.3333333333333333,90,0.0,20.02,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CCRN,0.015525564742521607,0.1308499720493532,0.0,0.0,-0.3304476571779731,0.0,0.3333333333333333,90,0.0,11.8,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CCS,0.008300793298781516,0.10553681028617597,0.0,0.0,-0.2834072576634018,0.0,0.3333333333333333,90,0.0,56.72,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CCSI,-0.06116962931740116,0.09078964452257446,0.0,0.0,-0.517047450837328,0.0,0.3333333333333333,90,0.0,21.74,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CDE,0.0264082851956044,0.1460663918248749,0.0,0.0,-0.3325660346922071,0.0,0.3333333333333333,90,0.0,14.54,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CDLX,-0.10012294581316784,0.09685922886008637,0.0,0.0,-0.6910694698329304,0.0,0.3333333333333333,90,0.0,1.245,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CDNA,0.20565464135341796,0.33984062427864514,0.0,0.0,-0.19690330742226342,0.0,0.3333333333333333,90,0.0,15.64,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CDNS,0.02854999659811897,0.09492032579173831,0.0,0.0,-0.17056099098273902,0.0,0.3333333333333333,90,0.0,304.67,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CDP,0.25149240395883277,0.33217324177406515,0.0,0.0,0.009449890513135427,0.0,0.3333333333333333,90,0.0,29.155,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CDTX,0.6651787837853752,0.5535920566885127,0.0,0.0,0.9999389650759627,0.0,0.3333333333333333,90,0.1001169964901053,218.515,45,0,45,buy,pending_new,905caa4b-2d6b-404f-86d5-af55c215828d,"Composite=0.665, Alpha=0.554, ML=0.000, Tech=0.000, Sentiment=1.000, MLPred=0.000, Weight=0.100, Confidence=0.33, Factors=90"
CDW,0.02962418261515074,0.11386133203037922,0.0,0.0,-0.22308726563053466,0.0,0.3333333333333333,90,0.0,140.73,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CDXS,-0.08834439594876804,0.09197482696713016,0.0,0.0,-0.6293020646964625,0.0,0.3333333333333333,90,0.0,1.64,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CDZI,0.5933650694902132,0.4729765030920084,0.0,0.0,0.9545307686848274,0.0,0.3333333333333333,90,0.0,6.33,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CDZIP,0.18280084435661062,0.2411704071508631,0.0,0.0,0.007692155973853198,0.0,0.3333333333333333,86,0.0,19.53,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CE,-0.0013031690938289516,0.11063692216259582,0.0,0.0,-0.33712344286310325,0.0,0.3333333333333333,90,0.0,36.375,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CECO,0.10670828740734987,0.246957145340146,0.0,0.0,-0.3140382863910385,0.0,0.3333333333333333,90,0.0,48.545,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CEG,0.09381623760311274,0.17139318719534824,0.0,0.0,-0.1389146111735937,0.0,0.3333333333333333,90,0.0,344.13,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CELC,0.4375021744709587,0.4604621106656985,0.0,0.0,0.3686223658867393,0.0,0.3333333333333333,90,0.04292871213863585,91.77,46,0,46,buy,pending_new,72ad839e-72dd-4361-9859-ee6e69367bc4,"Composite=0.438, Alpha=0.460, ML=0.000, Tech=0.000, Sentiment=0.369, MLPred=0.000, Weight=0.043, Confidence=0.33, Factors=90"
CELH,0.010028137447443576,0.12696965288217404,0.0,0.0,-0.3407964088567478,0.0,0.3333333333333333,90,0.0,41.675,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CELU,-0.010309515166512026,0.0596585171849492,0.0,0.0,-0.2202136122208957,0.0,0.3333333333333333,89,0.0,1.6,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CELZ,0.12925575931107772,0.16678597120535762,0.0,0.0,0.016665123628237886,0.0,0.3333333333333333,89,0.0,3.01,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CENT,0.03872749017322457,0.08722974331131456,0.0,0.0,-0.10677926924104536,0.0,0.3333333333333333,90,0.0,31.04,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CENTA,0.08377252284637604,0.14790526911004334,0.0,0.0,-0.10862571594462583,0.0,0.3333333333333333,90,0.0,28.03,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CENX,0.11152108459253068,0.23721989254782117,0.0,0.0,-0.2655753392733407,0.0,0.3333333333333333,90,0.0,27.975,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CEP,-0.0949524593073433,0.10693147715864751,0.0,0.0,-0.7006042687053157,0.0,0.3333333333333333,90,0.0,13.32,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CERT,0.05902496212855453,0.08071280748599954,0.0,0.0,-0.006038573943780512,0.0,0.3333333333333333,90,0.0,8.27,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CET,0.001297622241553484,0.11029032288195549,0.0,0.0,-0.32568047967965247,0.0,0.3333333333333333,89,0.0,48.07,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CETX,-0.09295859317782813,0.1726613132091584,0.0,0.0,-0.8898183123387876,0.0,0.3333333333333333,90,0.0,3.4,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CETY,0.08682128483879316,0.11576171311839088,0.0,0.0,0.0,0.0,0.3333333333333333,88,0.0,1.14,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CEVA,-0.10759271389963732,0.12625739148927936,0.0,0.0,-0.8091430300663872,0.0,0.3333333333333333,90,0.0,21.16,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CF,0.04168008632532843,0.1287181437801142,0.0,0.0,-0.21943408603902886,0.0,0.3333333333333333,90,0.0,80.95,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CFFN,0.08833309237307763,0.1847223590482037,0.0,0.0,-0.20083470765230055,0.0,0.3333333333333333,90,0.0,6.125,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CFG,0.09064630312220869,0.1824714248223616,0.0,0.0,-0.18482906197825003,0.0,0.3333333333333333,90,0.0,50.71,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CFLT,0.0678885244500598,0.1979749023745254,0.0,0.0,-0.3223706093233369,0.0,0.3333333333333333,90,0.0,22.75,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CFR,0.011179620868518573,0.05866366582456224,0.0,0.0,-0.13127251399961243,0.0,0.3333333333333333,90,0.0,120.93,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CG,0.016710079553570224,0.11494079939252845,0.0,0.0,-0.27798207996330443,0.0,0.3333333333333333,90,0.0,51.935,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CGBD,0.03211632684187365,0.09188614420748996,0.0,0.0,-0.1471931252549753,0.0,0.3333333333333333,90,0.0,11.78,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CGEM,0.2703900312882072,0.30998396250078586,0.0,0.0,0.15160823765047116,0.0,0.3333333333333333,90,0.0,8.6,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CGNX,0.015862076331447737,0.09875304457836659,0.0,0.0,-0.23281082840930878,0.0,0.3333333333333333,90,0.0,36.35,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CGO,0.07950883099495731,0.1915526044578961,0.0,0.0,-0.25662248939385895,0.0,0.3333333333333333,87,0.0,11.19,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CGON,0.37013196247155006,0.3465095887098914,0.0,0.0,0.44099908375652586,0.0,0.3333333333333333,90,0.0,43.12,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CGTX,-0.024450689586203517,0.11642700594463733,0.0,0.0,-0.44708377617872597,0.0,0.3333333333333333,90,0.0,1.55,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CHCI,-0.09645682021770703,0.14698537678322127,0.0,0.0,-0.8267834112204918,0.0,0.3333333333333333,88,0.0,12.72,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CHCO,0.13755666647554857,0.2215927773456149,0.0,0.0,-0.11455166613465044,0.0,0.3333333333333333,88,0.0,118.03,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CHCT,0.29385731510328905,0.30208999038258866,0.0,0.0,0.2691592892653902,0.0,0.3333333333333333,90,0.0,15.295,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CHD,0.08212991473529224,0.15297851203809862,0.0,0.0,-0.13041587717312686,0.0,0.3333333333333333,90,0.0,83.15,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CHDN,0.31396886974879645,0.34120858442047414,0.0,0.0,0.23224972573376315,0.0,0.3333333333333333,90,0.0,104.37,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CHE,0.08757435159190853,0.15359961418928014,0.0,0.0,-0.1105014362002063,0.0,0.3333333333333333,90,0.0,437.11,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CHEF,0.03168172025441334,0.15184434548066073,0.0,0.0,-0.3288061554243288,0.0,0.3333333333333333,90,0.0,57.5,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CHGG,-0.06502248347989688,0.1278693988188278,0.0,0.0,-0.6436981303760708,0.0,0.3333333333333333,90,0.0,1.025,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CHH,0.021872285229230976,0.12882962816153054,0.0,0.0,-0.2989997435676677,0.0,0.3333333333333333,90,0.0,91.65,0,0,0,hold,hold,,"No delta (current=0, target=0)"
