symbol,alpha_factors_score,ml_features_score,technical_score,fundamental_score,sentiment_score,ml_predictor_score,composite_score,confidence,num_factors_computed,fused_score,fused_confidence,sentiment_confidence,rl_score,rl_confidence
AMG,0.32678193479515827,0.0,0.0,0.0,0.5,0.0,0.42823423097946145,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
ARR,0.2221835352450504,0.0,0.0,0.0,0.5,0.0,0.4056987147535184,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
ARTL,0.18842821901113257,0.0,0.0,0.0,0.5,0.0,0.42789217583893996,0.2857142857142857,89,0.5,0.6499999999999999,0.6,0.5,0.7
BLFY,0.42566561770016237,0.0,0.0,0.0,0.5,0.0,0.4487182774496813,0.2857142857142857,89,0.5,0.6499999999999999,0.6,0.5,0.7
BYD,0.2134676150884153,0.0,0.0,0.0,0.5,0.0,0.394427654764075,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
CHE,0.11975107199983667,0.0,0.0,0.0,0.5,0.0,0.37245630234989363,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
CMC,0.31196719044787724,0.0,0.0,0.0,0.5,0.0,0.4292578772496449,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
CMCSA,0.08449452308611746,0.0,0.0,0.0,0.5,0.0,0.3679569791334859,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
FCEL,0.1220602164847183,0.0,0.0,0.0,0.5,0.0,0.41437924386871106,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
FOUR,0.23892924900858795,0.0,0.0,0.0,0.5,0.0,0.4217140532390548,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
GERN,0.20532031120397115,0.0,0.0,0.0,0.5,0.0,0.4227179215722335,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
GLSI,0.09945695869769308,0.0,0.0,0.0,0.5,0.0,0.36302931268526967,0.2857142857142857,89,0.5,0.6499999999999999,0.6,0.5,0.7
KE,0.1843602182584054,0.0,0.0,0.0,0.5,0.0,0.3943677721591103,0.2857142857142857,88,0.5,0.6499999999999999,0.6,0.5,0.7
KEX,0.3110621670585171,0.0,0.0,0.0,0.5,0.0,0.421644680006106,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
KMPR,0.17976911900668607,0.0,0.0,0.0,0.5,0.0,0.38675100130237466,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
KTTA,0.43262302014043574,0.0,0.0,0.0,0.5,0.0,0.5223400383083564,0.2857142857142857,89,0.5,0.6499999999999999,0.6,0.5,0.7
LIEN,0.24775529856623754,0.0,0.0,0.0,0.5,0.0,0.4117857946419926,0.2857142857142857,89,0.5,0.6499999999999999,0.6,0.5,0.7
LMB,0.07989283980909125,0.0,0.0,0.0,0.5,0.0,0.37317736618850583,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
MAS,0.20469589007288744,0.0,0.0,0.0,0.5,0.0,0.4023779025917865,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
MASI,0.0776999008804915,0.0,0.0,0.0,0.5,0.0,0.3606020010727425,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
MBIO,0.16131475475956752,0.0,0.0,0.0,0.5,0.0,0.42414624965004194,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
MGRC,0.1163468747183577,0.0,0.0,0.0,0.5,0.0,0.3681679870153461,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
MLSS,0.13636506217744016,0.0,0.0,0.0,0.5,0.0,0.39851876697398336,0.2857142857142857,88,0.5,0.6499999999999999,0.6,0.5,0.7
MSGE,0.38490629116326525,0.0,0.0,0.0,0.5,0.0,0.44186341845682175,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
NPCE,0.41171825928106326,0.0,0.0,0.0,0.5,0.0,0.42216124126230425,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
PETS,0.100465753812079,0.0,0.0,0.0,0.5,0.0,0.4065402288023279,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
PRK,0.20679901425839764,0.0,0.0,0.0,0.5,0.0,0.3897260307777873,0.2857142857142857,89,0.5,0.6499999999999999,0.6,0.5,0.7
PRPL,0.20853886419136106,0.0,0.0,0.0,0.5,0.0,0.42254526990093244,0.2857142857142857,89,0.5,0.6499999999999999,0.6,0.5,0.7
PTIX,0.12477352027592724,0.0,0.0,0.0,0.5,0.0,0.3361875694914762,0.2857142857142857,89,0.5,0.6499999999999999,0.6,0.5,0.7
RAPT,0.37832516057265186,0.0,0.0,0.0,0.5,0.0,0.44439880746942145,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
REGCO,0.10177098651147029,0.0,0.0,0.0,0.5,0.0,0.37224030544729275,0.2857142857142857,83,0.5,0.6499999999999999,0.6,0.5,0.7
RFMZ,0.08951013789842703,0.0,0.0,0.0,0.5,0.0,0.3689597053331582,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
RGLD,0.3402155411218407,0.0,0.0,0.0,0.5,0.0,0.43389007875116303,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
RLAY,0.35800120547581643,0.0,0.0,0.0,0.5,0.0,0.40405951336841256,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
SLGN,0.13730969646169328,0.0,0.0,0.0,0.5,0.0,0.3768612116399343,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
SNBR,0.3381835711868278,0.0,0.0,0.0,0.5,0.0,0.4974642925386561,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
SOJC,0.07543643385572066,0.0,0.0,0.0,0.5,0.0,0.3581822697900899,0.2857142857142857,88,0.5,0.6499999999999999,0.6,0.5,0.7
SRG,0.12215069283890713,0.0,0.0,0.0,0.5,0.0,0.39261208094844535,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
TOON,0.26361478873941124,0.0,0.0,0.0,0.5,0.0,0.43190154573520834,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
XOMA,0.11629915702156376,0.0,0.0,0.0,0.5,0.0,0.3676810798452553,0.2857142857142857,89,0.5,0.6499999999999999,0.6,0.5,0.7
ADX,0.17487236047213608,0.0,0.0,0.0,0.5,0.0,0.39409836593548037,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
AIM,0.11024172316019727,0.0,0.0,0.0,0.5,0.0,0.3641623981785244,0.2857142857142857,89,0.5,0.6499999999999999,0.6,0.5,0.7
APG,0.32896729082397513,0.0,0.0,0.0,0.5,0.0,0.42074880447408997,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
ATLX,0.21931505085498612,0.0,0.0,0.0,0.5,0.0,0.4259195586326967,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
BL,0.25357575785056546,0.0,0.0,0.0,0.5,0.0,0.40135030737465976,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
CATY,0.30797436696937547,0.0,0.0,0.0,0.5,0.0,0.4183811283360908,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
CVI,0.10806415397428178,0.0,0.0,0.0,0.5,0.0,0.37804052506315305,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
DVAX,0.25947299120953915,0.0,0.0,0.0,0.5,0.0,0.38676078272125824,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
EDIT,0.03981609041267982,0.0,0.0,0.0,0.5,0.0,0.3292893603672719,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
ENR,0.07471407008138041,0.0,0.0,0.0,0.5,0.0,0.3612367694912982,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
EPAC,0.049811370287180246,0.0,0.0,0.0,0.5,0.0,0.3520364132168426,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
ETJ,0.10471093647133851,0.0,0.0,0.0,0.5,0.0,0.3769900604458968,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
FCT,0.16425415952258846,0.0,0.0,0.0,0.5,0.0,0.3853883771011599,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
FFIN,0.18260616228510315,0.0,0.0,0.0,0.5,0.0,0.3916795408662184,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
FIZZ,0.19911187011433087,0.0,0.0,0.0,0.5,0.0,0.4025800030874172,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
HTD,0.15250715837406165,0.0,0.0,0.0,0.5,0.0,0.38262865681324765,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
HTZWW,0.16141264399029495,0.0,0.0,0.0,0.5,0.0,0.36779576372698675,0.2857142857142857,88,0.5,0.6499999999999999,0.6,0.5,0.7
JBIO,0.3474004748569562,0.0,0.0,0.0,0.5,0.0,0.4089593876356293,0.2857142857142857,89,0.5,0.6499999999999999,0.6,0.5,0.7
MLAB,0.2794753535837661,0.0,0.0,0.0,0.5,0.0,0.4025922247346425,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
NXJ,0.11813071329764213,0.0,0.0,0.0,0.5,0.0,0.3751032232088601,0.2857142857142857,89,0.5,0.6499999999999999,0.6,0.5,0.7
NYT,0.35701459756208787,0.0,0.0,0.0,0.5,0.0,0.4290231099169831,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
OKE,0.3088331078906125,0.0,0.0,0.0,0.5,0.0,0.43303785726322125,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
PMO,0.13737771295596996,0.0,0.0,0.0,0.5,0.0,0.38054731899617533,0.2857142857142857,89,0.5,0.6499999999999999,0.6,0.5,0.7
PTGX,0.3189587736118247,0.0,0.0,0.0,0.5,0.0,0.40534289586853073,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
RIV,0.19234230072136885,0.0,0.0,0.0,0.5,0.0,0.39977955546109556,0.2857142857142857,89,0.5,0.6499999999999999,0.6,0.5,0.7
RM,0.16755119060206353,0.0,0.0,0.0,0.5,0.0,0.38450095827993175,0.2857142857142857,89,0.5,0.6499999999999999,0.6,0.5,0.7
SANA,0.2020243223500983,0.0,0.0,0.0,0.5,0.0,0.45089314042499745,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
SCD,0.14355751094220678,0.0,0.0,0.0,0.5,0.0,0.3890436239180038,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
SIGI,0.1510669274143056,0.0,0.0,0.0,0.5,0.0,0.3827584867150507,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
SKLZ,0.0798646469634794,0.0,0.0,0.0,0.5,0.0,0.36587316727761804,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
SOFI,0.27449311468341164,0.0,0.0,0.0,0.5,0.0,0.4300427550599622,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
STRF,0.15709649604665604,0.0,0.0,0.0,0.5,0.0,0.4033745209931595,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
VITL,0.17982045919566403,0.0,0.0,0.0,0.5,0.0,0.3989216635827654,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
ABNB,0.17306118722720387,0.0,0.0,0.0,0.5,0.0,0.3912153954242896,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
ASTS,0.11420399544464536,0.0,0.0,0.0,0.5,0.0,0.37977675830303764,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
BBOT,0.15944976751577902,0.0,0.0,0.0,0.5,0.0,0.3620437672216214,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
BMI,0.08068917879808858,0.0,0.0,0.0,0.5,0.0,0.35077169318339513,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
BRRWU,0.11705475694209491,0.0,0.0,0.0,0.5,0.0,0.3036082074967025,0.2857142857142857,82,0.5,0.6499999999999999,0.6,0.5,0.7
BZAI,0.04876301543666979,0.0,0.0,0.0,0.5,0.0,0.3408218506785311,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
CBLL,0.3860169105162135,0.0,0.0,0.0,0.5,0.0,0.4305985514180533,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
CCCC,0.23428957924813204,0.0,0.0,0.0,0.5,0.0,0.4095283044825869,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
CNO,0.27371061242935063,0.0,0.0,0.0,0.5,0.0,0.40550439896131324,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
DBI,0.28561593277595854,0.0,0.0,0.0,0.5,0.0,0.43227777402856665,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
ELVN,0.2368674319940208,0.0,0.0,0.0,0.5,0.0,0.3829194077901189,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
ETY,0.13688592267716188,0.0,0.0,0.0,0.5,0.0,0.3851888416073497,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
FIX,0.31151674960112835,0.0,0.0,0.0,0.5,0.0,0.4193174903236485,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
GIS,0.08774489521004371,0.0,0.0,0.0,0.5,0.0,0.36257527636336867,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
HUBG,0.30092208515343793,0.0,0.0,0.0,0.5,0.0,0.43069203525529415,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
JBTM,0.2620668917027498,0.0,0.0,0.0,0.5,0.0,0.4001887039618979,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
KPLT,0.07137386779420363,0.0,0.0,0.0,0.5,0.0,0.35832398363175516,0.2857142857142857,88,0.5,0.6499999999999999,0.6,0.5,0.7
LPG,0.06184258778857999,0.0,0.0,0.0,0.5,0.0,0.35516319695886023,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
LSH,0.08633464107785255,0.0,0.0,0.0,0.5,0.0,0.3507422906105751,0.2857142857142857,87,0.5,0.6499999999999999,0.6,0.5,0.7
MAPS,0.11293909250233511,0.0,0.0,0.0,0.5,0.0,0.3897390009949252,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
MITT,0.29991992148542435,0.0,0.0,0.0,0.5,0.0,0.4257913651209737,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
MSTR,0.08979360296677771,0.0,0.0,0.0,0.5,0.0,0.3902634511570484,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
NEUP,0.04727574481735558,0.0,0.0,0.0,0.5,0.0,0.34430964752722804,0.2857142857142857,89,0.5,0.6499999999999999,0.6,0.5,0.7
NXN,0.20774514083738277,0.0,0.0,0.0,0.5,0.0,0.398446205017943,0.2857142857142857,86,0.5,0.6499999999999999,0.6,0.5,0.7
ODP,0.24781543764915795,0.0,0.0,0.0,0.5,0.0,0.40636264944546346,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
OS,0.290531222016459,0.0,0.0,0.0,0.5,0.0,0.42092950235563986,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
REZI,0.20263484525817674,0.0,0.0,0.0,0.5,0.0,0.417577225771828,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
RGEN,0.3407581256945059,0.0,0.0,0.0,0.5,0.0,0.4143346240707395,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
RZLT,0.21402026253824596,0.0,0.0,0.0,0.5,0.0,0.3809467344217066,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
TGT,0.2195530362300623,0.0,0.0,0.0,0.5,0.0,0.4153096884959541,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
VIAV,0.2932003459566159,0.0,0.0,0.0,0.5,0.0,0.41500501815372576,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
VIRT,0.11206921599999678,0.0,0.0,0.0,0.5,0.0,0.37575575440606407,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
VSAT,0.1517828650522057,0.0,0.0,0.0,0.5,0.0,0.3846056156685175,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
AD,0.1814207997605357,0.0,0.0,0.0,0.5,0.0,0.4059975463097173,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
ALE,0.2634035769273976,0.0,0.0,0.0,0.5,0.0,0.41001550216248445,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
ALHC,0.35690645533138293,0.0,0.0,0.0,0.5,0.0,0.4333375445141161,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
ASLE,0.16101772982876128,0.0,0.0,0.0,0.5,0.0,0.3882744678000196,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
AVB,0.17711008322504865,0.0,0.0,0.0,0.5,0.0,0.38621944711918177,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
AXSM,0.3301857485427538,0.0,0.0,0.0,0.5,0.0,0.41694776947671963,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
AXTA,0.29407623800031374,0.0,0.0,0.0,0.5,0.0,0.4215161001070256,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
BBIO,0.3629710435363865,0.0,0.0,0.0,0.5,0.0,0.4446026441915856,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
COGT,0.49938862935875616,0.0,0.0,0.0,0.5,0.0,0.45400007299254136,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
CSQ,0.1857978741889094,0.0,0.0,0.0,0.5,0.0,0.39902843381683345,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
DTIL,0.11316171658892984,0.0,0.0,0.0,0.5,0.0,0.36709512729631477,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
ERIE,0.18463587885869914,0.0,0.0,0.0,0.5,0.0,0.3913465721786324,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
FLWS,0.11652226715942035,0.0,0.0,0.0,0.5,0.0,0.40402509512309914,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
HOLX,0.27339957681848026,0.0,0.0,0.0,0.5,0.0,0.4116651249064164,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
IBCP,0.28635623117192827,0.0,0.0,0.0,0.5,0.0,0.41987181456144207,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
IRTC,0.29951362032071227,0.0,0.0,0.0,0.5,0.0,0.41012422741686044,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
KITT,0.004175509922707736,0.0,0.0,0.0,0.5,0.0,0.30113105422405806,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
KMX,0.19701548878261055,0.0,0.0,0.0,0.5,0.0,0.407713747440435,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
LYFT,0.2919852986115845,0.0,0.0,0.0,0.5,0.0,0.4576791096741337,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
MTSI,0.40372798250951186,0.0,0.0,0.0,0.5,0.0,0.4649644177092769,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
MUSA,0.280599222448825,0.0,0.0,0.0,0.5,0.0,0.424422271597673,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
NATR,0.4030291901736898,0.0,0.0,0.0,0.5,0.0,0.44986265274650566,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
NTAP,0.1835518572489382,0.0,0.0,0.0,0.5,0.0,0.40050860629797636,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
