symbol,alpha_factors_score,ml_features_score,technical_score,fundamental_score,sentiment_score,ml_predictor_score,composite_score,confidence,num_factors_computed
A,0.2540491026076335,0.0,0.0,0.0,-0.06782217705436785,0.0,0.17358128269213316,0.2857142857142857,90
AA,0.29615806883200446,0.0,0.0,0.0,-0.17812397601823451,0.0,0.17758755761944472,0.2857142857142857,90
AAL,0.23777778020363394,0.0,0.0,0.0,-0.2670983115787233,0.0,0.11155875725804461,0.2857142857142857,90
AAME,0.11601133039378694,0.0,0.0,0.0,-0.8561351016404783,0.0,-0.1270252776147794,0.2857142857142857,89
AAOI,0.06342407333268912,0.0,0.0,0.0,0.0071751937715555545,0.0,0.049361853442405734,0.2857142857142857,90
AAON,0.17430857976575623,0.0,0.0,0.0,-0.11050640363997592,0.0,0.10310483391432318,0.2857142857142857,90
AAP,0.1590114989390386,0.0,0.0,0.0,-0.04771542942837774,0.0,0.10732976684718451,0.2857142857142857,90
AAPL,0.3108695751742923,0.0,0.0,0.0,-0.05579257785773464,0.0,0.21920403691628557,0.2857142857142857,90
AAT,0.10037004651109349,0.0,0.0,0.0,-0.08849441438249268,0.0,0.053153931287696944,0.2857142857142857,90
AB,0.23807260357938095,0.0,0.0,0.0,-0.03713656626891405,0.0,0.1692703111173072,0.2857142857142857,89
ABAT,0.19900930492929483,0.0,0.0,0.0,0.48750851689022867,0.0,0.27113410791952836,0.2857142857142857,90
ABBV,0.40353198243035027,0.0,0.0,0.0,-0.01980024449736811,0.0,0.29769892569842066,0.2857142857142857,90
ABCB,0.1509951089083925,0.0,0.0,0.0,-0.027579211335774234,0.0,0.1063515288473508,0.2857142857142857,90
ABEO,0.16471002784137526,0.0,0.0,0.0,-0.39101324259736614,0.0,0.02577921023168989,0.2857142857142857,90
ABG,0.09027968454680625,0.0,0.0,0.0,-0.08776071498882046,0.0,0.04576958466289957,0.2857142857142857,90
ABL,0.30866324104675874,0.0,0.0,0.0,-0.3446421170970638,0.0,0.14533690151080308,0.2857142857142857,90
ABM,0.06273785057396651,0.0,0.0,0.0,-0.23104594868641917,0.0,-0.010708099241129922,0.2857142857142857,90
ABNB,0.10571974615524542,0.0,0.0,0.0,-0.27069846066263054,0.0,0.011615194450776413,0.2857142857142857,90
ABOS,0.12332076525414785,0.0,0.0,0.0,-0.6326704028028415,0.0,-0.06567702676009951,0.2857142857142857,90
ABR,0.09726855579459674,0.0,0.0,0.0,-0.20097126486071246,0.0,0.02270860063076943,0.2857142857142857,90
ABSI,0.12392096717792904,0.0,0.0,0.0,0.4256281972349944,0.0,0.1993477746921954,0.2857142857142857,90
ABT,0.2771630294733429,0.0,0.0,0.0,-0.1446157086254928,0.0,0.171718344948634,0.2857142857142857,90
ABTC,0.2271372719288288,0.0,0.0,0.0,0.047583087002762176,0.0,0.18224872569731213,0.2857142857142857,90
ABUS,0.1596260028756831,0.0,0.0,0.0,-0.2980285282003377,0.0,0.045212370106677884,0.2857142857142857,90
ABVC,0.14544828248663272,0.0,0.0,0.0,-0.1760815361403483,0.0,0.06506582782988747,0.2857142857142857,90
ACA,0.3429142448674627,0.0,0.0,0.0,-0.07489026860070165,0.0,0.23846311650042157,0.2857142857142857,90
ACAD,0.23644655954690236,0.0,0.0,0.0,-0.13229974813545753,0.0,0.1442599826263124,0.2857142857142857,90
